trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-30.30273602105595,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-151.31033256366803,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.001, 'e': 0.997004495503373}",20,12,-10.950688182112987,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.001, 'e': 0.9960079893439915}",30,0,-144.66130670368176,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.9950124791926823}",30,13,-74.2482096353674,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,3,-87.18505364805797,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
7,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-74.33911634894501,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.9920319148370607}",20,0,-69.06658108466272,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9910403787728836}",25,0,-172.4684726192339,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.001, 'e': 0.9900498337491681}",25,0,-80.4761906148448,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9890602787753687}",30,0,-77.6855691570876,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-137.50859041060926,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.001, 'e': 0.9870841350202876}",35,0,-156.35337717078144,"{0: 21, 1: 3, 2: 9, 3: 0, 4: 2}",0
14,False,"{'a': 0.001, 'e': 0.9860975442628619}",20,0,-97.6037163128246,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9851119396030626}",20,0,-190.525040655598,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-115.84399572556295,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.9831436846349096}",20,0,-122.94455569703639,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,9,-87.26824314715617,"{0: 4, 1: 1, 2: 5, 3: 0, 4: 1}",1
19,False,"{'a': 0.001, 'e': 0.981179362242806}",25,0,-81.88888800984755,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.001, 'e': 0.9801986733067553}",25,0,-81.97635203395421,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
21,False,"{'a': 0.001, 'e': 0.9792189645694596}",20,0,-160.55885851492948,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
22,False,"{'a': 0.001, 'e': 0.97824023505121}",20,0,-91.27467764088573,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.001, 'e': 0.9772624837732771}",25,0,-120.11625724755622,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
24,False,"{'a': 0.001, 'e': 0.9762857097579093}",30,0,-266.24074618874266,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 4}",0
25,False,"{'a': 0.001, 'e': 0.9753099120283326}",20,0,-131.7311266766124,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.9743350896087494}",20,12,12.681272844570973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.001, 'e': 0.9733612415243368}",25,0,-260.1946162900837,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 5}",0
28,False,"{'a': 0.001, 'e': 0.9723883668012469}",30,9,-63.718632339097255,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
29,False,"{'a': 0.001, 'e': 0.9714164644666048}",35,0,-136.64579007931397,"{0: 16, 1: 7, 2: 12, 3: 0, 4: 0}",0
30,False,"{'a': 0.001, 'e': 0.9704455335485082}",20,10,-52.07423365183091,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
31,False,"{'a': 0.001, 'e': 0.9694755730760259}",25,0,-77.49430893258979,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
