trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,15,-60.356520594557,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-182.479348896302,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-67.27078157237152,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-65.3478478522288,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-131.7171318738641,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-90.94091786180388,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-94.58304909087204,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-152.55205759381215,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-156.89222365336187,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-84.86398330745135,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,15,9.49417478534938,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-153.31650504178722,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-109.83376580216206,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-67.79958009312722,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-55.62839504626565,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-198.0463460586395,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-16.031070940745895,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-82.23299092007987,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-28.754634568383622,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,16,5.835138101561955,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-83.00267393099936,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-104.36795241815673,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-159.58433163935422,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-93.16409621844046,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-88.42658214673119,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-254.2427843808203,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.3992551765866,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,3,-19.39474825020086,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-228.3777420519526,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-226.66822495924097,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 4}",0
